Age,Income,CreditScore,HouseholdSize,MedianHomeValue,MedianHouseholdIncome,Debt,LoanTerm,InterestRate,CreditIncidents,HomeValue,LoanAmount,ProductType,LoanStatus
28,572339,799,3,219500,60977,68680.68,360,0.039,6,614600,307300,3,0
75,30847,781,3,547800,56716,3393.17,180,0.043,4,1369500,1095600,4,1
94,19868,630,1,230700,35336,19470.64,180,0.037,1,392190,274533,3,1
97,35892,642,6,127300,45059,32661.72,360,0.038,4,280060,84018,2,0
70,45456,635,3,130200,41667,34546.56,420,0.045,3,312480,249984,2,1
100,40063,657,1,178600,64930,18829.61,360,0.039,2,392920,314336,2,1
38,59954,696,3,57500,30000,32375.16,480,0.041,3,155250,77625,3,1
47,353024,799,4,88900,30958,67074.56,360,0.036,3,248920,174244,1,1
23,693731,635,1,173700,60312,659044.45,180,0.036,3,451620,135486,3,1
22,45618,753,4,135900,44563,7298.88,420,0.043,4,326160,130464,3,1
62,29127,666,3,242500,73424,14272.23,180,0.043,1,557750,223100,2,1
74,21665,623,1,217400,75365,19715.15,360,0.043,5,347840,104352,2,0
56,573195,788,1,179000,46133,74515.35,480,0.038,0,501200,100240,3,1
83,11752,782,10,223100,67956,235.04,360,0.04,0,423890,84778,3,1
21,244584,785,1,201000,76124,9783.36,420,0.035,3,522600,313560,1,1
76,182278,751,1,531000,41639,25518.92,180,0.045,0,1380600,1242540,4,1
25,33257,628,1,197300,65393,29598.73,480,0.039,1,552440,386708,3,1
68,35068,761,1,231900,75572,6312.24,360,0.036,3,463800,185520,1,1
89,377475,798,4,420600,47358,60396,180,0.041,3,1177680,706608,2,1
18,46081,627,4,512700,68368,41012.09,480,0.036,4,1127940,225588,3,0
49,32797,634,2,714000,82411,22629.93,420,0.041,5,1927800,1542240,4,0
67,57602,733,3,459400,75056,9792.34,180,0.039,4,1240380,992304,4,1
94,38645,651,1,94800,42488,17003.8,420,0.044,2,255960,76788,3,1
95,36761,656,10,78200,32470,19483.33,420,0.036,3,187680,75072,1,1
46,445662,792,4,78200,32470,13369.86,420,0.038,0,226780,181424,2,1
38,44903,638,2,250200,59358,39514.64,360,0.039,0,575460,230184,2,1
31,56988,676,4,482700,47368,23365.08,360,0.045,5,1303290,1042632,4,0
55,179023,756,1,351000,71720,19692.53,480,0.04,4,666900,133380,2,1
73,464386,789,3,160100,49333,32507.02,420,0.042,1,432270,345816,3,1
88,188381,755,4,191100,45363,58398.11,360,0.036,1,401310,240786,1,1
84,13899,629,1,140200,46709,10980.21,360,0.037,4,224320,44864,2,0
46,40403,631,4,174100,57404,38382.85,180,0.037,5,400430,280301,3,0
56,13545,664,4,174100,57404,5282.55,420,0.04,0,295970,59194,2,1
66,50245,655,3,88900,30958,22610.25,180,0.041,0,186690,130683,2,1
91,54834,698,4,137100,36600,20836.92,360,0.042,6,315330,252264,2,0
99,58869,655,3,242500,73424,25313.67,360,0.039,1,509250,458325,2,1
81,391220,796,3,174100,57404,27385.4,180,0.039,1,452660,135798,2,1
74,298157,691,1,242900,49732,155041.64,480,0.042,3,704410,140882,3,1
83,727203,797,3,326800,85354,29088.12,360,0.035,0,980400,882360,4,1
69,33465,639,2,348900,123851,22421.55,480,0.041,2,872250,261675,2,0
55,27508,654,1,94700,44174,10728.12,180,0.038,1,160990,64396,2,1
35,24043,660,6,482700,47368,9617.2,420,0.039,4,772320,386160,2,1
39,35558,621,1,357100,67482,28801.98,180,0.042,2,678490,407094,3,1
97,58288,707,2,124000,34234,12240.48,360,0.042,2,260400,78120,2,1
24,19348,626,1,555700,82313,17993.64,180,0.042,0,889120,177824,3,0
59,638130,799,4,104500,30678,121244.7,420,0.04,4,271700,108680,2,1
79,26323,669,3,48600,30060,13687.96,420,0.043,2,97200,68040,2,1
51,389928,789,2,48600,30060,7798.56,480,0.04,3,121500,48600,2,1
94,17187,659,2,129500,43190,7218.54,180,0.042,3,194250,38850,2,1
54,124412,759,4,138000,51830,26126.52,180,0.036,0,276000,193200,1,1
20,45545,774,2,105400,42620,7287.2,420,0.04,4,274040,109616,3,1
88,42372,633,9,122800,58366,37287.36,180,0.037,4,331560,165780,3,0
75,195994,773,2,219500,59422,52918.38,360,0.04,0,460950,368760,2,1
19,44970,669,1,84100,40742,17088.6,420,0.035,3,159790,47937,1,1
67,35596,637,4,102600,41626,23849.32,180,0.037,1,277020,83106,2,1
73,54936,685,3,80800,33648,25819.92,180,0.037,2,202000,161600,1,1
95,30178,664,4,250200,59358,13580.1,480,0.044,1,675540,135108,2,1
33,55451,710,3,207700,65692,13308.24,180,0.036,1,560790,280395,1,1
24,44004,664,6,63900,21764,18481.68,180,0.04,3,153360,46008,3,1
63,34339,634,1,555700,82313,32622.05,480,0.043,1,1166970,933576,4,0
71,28073,636,4,151500,56696,19651.1,180,0.037,5,257550,154530,3,0
77,26681,629,2,160100,49333,21077.99,420,0.037,3,304190,30419,3,1
72,111813,656,1,137100,36600,50315.85,420,0.043,2,329040,230328,2,1
25,10660,623,2,285000,46312,10020.4,420,0.044,0,513000,256500,2,1
25,10660,623,2,285000,46312,10020.4,420,0.038,3,121500,48600,3,1
97,94024,665,3,48600,30060,47012,420,0.044,0,513000,256500,2,1
97,94024,665,3,48600,30060,47012,420,0.038,3,121500,48600,3,1
76,610356,798,3,94700,44174,103760.52,420,0.037,1,255690,76707,1,1
35,17999,657,2,201000,76124,9539.47,360,0.038,3,341700,136680,2,0
18,18653,631,3,115700,11368,13989.75,420,0.037,2,208260,124956,3,1
26,36325,626,2,195200,55614,23248,480,0.042,0,409920,245952,3,1
47,14656,630,3,129500,43190,8793.6,420,0.037,1,194250,58275,2,1
27,40544,623,3,547800,56716,24326.4,180,0.037,2,1479060,443718,2,1
56,49570,667,4,299400,87288,27263.5,480,0.041,4,538920,53892,2,1
51,40480,770,4,74300,17174,5262.4,180,0.041,5,148600,89160,2,1
55,438037,799,1,283900,80235,52564.44,420,0.044,0,766530,613224,2,1
81,713202,796,4,403800,32945,35660.1,180,0.037,2,1171020,585510,1,1
19,21114,642,2,150100,37006,13935.24,420,0.044,1,300200,120080,2,1
69,37814,625,3,107800,48720,31763.76,180,0.041,3,258720,129360,3,1
93,50470,736,1,351000,71720,9084.6,360,0.036,1,666900,133380,1,1
58,50786,689,2,237200,68422,24377.28,420,0.041,3,521840,313104,3,1
40,24693,772,3,285000,46312,3457.02,360,0.041,1,484500,193800,3,1
38,32849,644,4,150100,37006,32192.02,360,0.041,2,300200,120080,2,1
41,747070,785,1,162400,48428,97119.1,360,0.036,0,470960,141288,1,1
66,858130,782,4,369400,85082,68650.4,180,0.041,4,997380,698166,2,1
97,57426,716,1,151500,56696,10336.68,420,0.04,6,409050,286335,3,0
21,171794,774,2,240700,60407,24051.16,480,0.042,0,625820,250328,2,1
69,48382,636,2,151500,56696,45479.08,360,0.042,2,348450,174225,2,1
37,36995,638,3,168700,61203,22936.9,420,0.045,3,371140,296912,2,1
34,549095,792,1,420600,47358,98837.1,180,0.045,0,1177680,235536,2,1
64,17163,636,4,221600,79746,15789.96,420,0.043,6,354560,141824,3,0
50,27916,637,4,257500,52032,25961.88,360,0.045,3,412000,164800,2,1
53,151186,646,2,155000,27702,105830.2,420,0.043,2,294500,58900,2,1
79,40890,634,2,285000,46312,29031.9,360,0.042,2,712500,142500,3,1
50,634086,787,4,127300,45059,63408.6,180,0.036,3,343710,137484,1,1
37,24328,663,9,512700,68368,10947.6,420,0.045,4,922860,276858,3,1
69,49104,650,7,250200,59358,24552,480,0.039,0,650520,130104,2,1
53,20993,640,1,272600,45224,11756.08,420,0.035,2,408900,122670,2,1
76,120684,770,4,257500,52032,34998.36,180,0.041,3,695250,69525,3,1
97,59510,700,10,104500,30678,11306.9,420,0.041,5,229900,114950,2,1
67,140730,765,2,662200,99101,30960.6,420,0.044,3,1721720,1205204,4,1
85,52078,708,2,448200,39409,13540.28,180,0.035,1,1210140,605070,1,1
94,55400,685,1,420600,47358,29362,180,0.044,3,1009440,706608,2,1
97,709820,789,2,726500,63739,85178.4,360,0.044,3,1961550,1765395,4,1
88,29844,750,3,127800,62201,4178.16,480,0.041,2,293940,117576,3,1
67,25951,798,2,201000,76124,3633.14,360,0.044,2,321600,192960,2,1
97,171256,767,3,555700,82313,54801.92,180,0.042,4,1000260,600156,2,1
50,40469,667,3,168700,61203,15378.22,180,0.035,1,438620,307034,1,1
65,27463,769,4,403400,127348,8238.9,480,0.04,4,605100,363060,3,0
67,15667,630,3,197300,65393,15196.99,420,0.036,3,335410,33541,2,0
96,53906,692,3,144500,31865,24796.76,420,0.038,2,361250,36125,2,1
87,43502,641,3,459400,75056,32191.48,180,0.04,0,964740,675318,2,1
85,166844,769,1,127300,45059,36705.68,360,0.04,0,241870,145122,2,1
44,504041,787,3,385100,84905,60484.92,480,0.044,5,1078280,646968,2,1
45,942973,686,1,155600,28949,499775.69,180,0.042,3,435680,261408,2,1
62,48420,636,4,67100,32457,30988.8,480,0.038,1,127490,76494,3,1
84,173601,777,10,157100,41335,53816.31,480,0.04,1,329910,164955,3,1
49,167975,773,3,250200,59358,25196.25,480,0.042,1,675540,472878,2,1
82,827714,782,1,119500,43606,66217.12,360,0.045,0,346550,34655,2,1
25,19982,637,3,230700,35336,19182.72,180,0.045,0,369120,73824,3,1
80,24589,622,6,257500,52032,13769.84,180,0.036,3,463500,92700,3,1
69,53735,660,3,531000,41639,23643.4,180,0.043,1,1168200,934560,4,1
87,910039,792,2,124000,34234,91003.9,420,0.037,3,347200,34720,1,1
63,729996,782,6,96600,36654,138699.24,180,0.036,1,260820,156492,1,1
73,58215,749,4,189600,51744,9896.55,180,0.041,4,474000,237000,2,1
95,13110,652,4,144500,31865,5506.2,360,0.04,3,289000,260100,2,1
62,25792,636,1,202100,61672,17280.64,180,0.041,4,363780,145512,2,0
86,509694,783,2,240700,60407,20387.76,420,0.036,2,625820,500656,1,1
27,49829,652,1,137100,37889,20928.18,480,0.042,3,260490,78147,2,1
36,36559,791,3,1000001,161848,3655.9,420,0.036,0,2500002.5,1500001.5,4,0
45,30897,645,3,231900,75572,29970.09,360,0.038,2,510180,255090,2,1
92,28111,669,9,285000,46312,15179.94,360,0.036,4,484500,145350,1,1
97,35532,766,3,195000,51179,4263.84,180,0.036,6,448500,134550,1,0
86,44804,668,2,94700,44174,22850.04,480,0.041,1,255690,51138,2,1
100,124282,773,6,195200,55614,13671.02,420,0.044,2,390400,195200,2,1
64,685003,790,2,117100,37095,0,420,0.044,5,327880,229516,2,1
97,55148,683,2,137100,36600,26471.04,480,0.039,6,329040,131616,3,0
65,42938,625,2,84100,40742,37356.06,360,0.043,4,227070,45414,2,0
27,56442,688,2,482700,47368,27092.16,420,0.045,3,965400,289620,3,1
30,54863,684,3,139200,58247,26334.24,420,0.035,2,361920,72384,1,1
25,47876,625,3,74300,17174,42130.88,420,0.043,2,156030,124824,2,1
79,58409,663,1,297500,49446,27452.23,480,0.042,5,743750,446250,3,0
51,43899,624,9,150100,37006,28973.34,180,0.041,2,315210,94563,2,1
37,51779,708,1,119500,43606,12944.75,420,0.043,1,262900,236610,2,1
89,47738,775,1,283100,58707,13844.02,420,0.043,3,594510,297255,2,1
27,59714,712,3,646500,91353,12539.94,360,0.042,3,1163700,698220,2,1
45,58748,665,3,213800,74276,27024.08,360,0.038,5,534500,267250,2,0
18,49711,646,4,213800,74276,32312.15,420,0.039,2,534500,267250,3,1
70,11248,660,3,219500,60977,5399.04,360,0.035,4,417050,166820,1,1
66,12913,631,1,330300,82746,7747.8,360,0.041,4,660600,132120,3,1
72,61555,699,4,168700,61203,24622,480,0.042,4,354270,106281,3,1
27,46028,642,4,179000,46133,32679.88,480,0.039,4,393800,196900,3,0
41,829147,794,1,96600,36654,58040.29,480,0.041,1,280140,140070,2,1
22,34327,623,1,268300,59574,31580.84,420,0.041,5,536600,429280,2,0
100,787260,785,1,150100,37006,55108.2,480,0.037,1,435290,304703,1,1
40,44413,651,1,189600,51744,22206.5,480,0.039,4,379200,151680,3,1
74,478078,784,1,151500,56696,43027.02,180,0.036,1,424200,254520,1,1
98,470696,789,4,547800,56716,70604.4,180,0.036,0,1643400,657360,1,1
23,32406,651,2,78200,32470,15230.82,180,0.044,6,218960,175168,2,0
74,45290,654,1,151500,56696,22192.1,360,0.044,1,378750,189375,2,1
98,52271,674,1,351000,71720,24044.66,420,0.043,2,842400,84240,2,1
56,16144,644,2,366900,84843,13560.96,420,0.044,0,733800,146760,2,0
68,39022,647,2,414600,61925,31998.04,480,0.043,3,953580,286074,3,1
93,15389,634,2,414600,61925,13388.43,360,0.043,0,746280,223884,2,1
94,248371,790,4,147600,44612,0,480,0.036,3,398520,278964,1,1
88,149691,672,7,240000,51136,70354.77,480,0.037,1,456000,228000,1,1
52,30183,656,3,283900,80235,16600.65,360,0.035,0,652970,326485,1,1
35,52377,679,4,201000,76124,27759.81,360,0.044,2,402000,241200,3,1
20,49021,624,1,162000,50817,41667.85,480,0.039,2,437400,306180,2,1
25,112906,769,1,304400,55698,31613.68,420,0.037,5,761000,684900,1,1
46,666107,791,3,94700,44174,119899.26,360,0.036,0,265160,26516,1,1
40,37305,664,1,285000,46312,18652.5,360,0.038,4,627000,313500,2,1
76,218542,781,2,283100,58707,2185.42,180,0.043,2,509580,101916,2,1
46,196334,755,4,88900,30958,49083.5,180,0.044,2,222250,111125,2,1
35,40396,777,10,137100,36600,6463.36,480,0.04,3,329040,263232,2,1
82,36776,635,4,155600,28949,24639.92,180,0.036,6,311200,93360,2,0
22,25548,778,2,283100,58707,5620.56,480,0.041,6,452960,362368,2,0
24,25963,653,1,155000,27702,13241.13,180,0.044,3,263500,52700,2,1
54,855096,793,1,420600,47358,145366.32,420,0.041,2,1261800,126180,2,1
57,123753,765,4,474600,85479,24750.6,480,0.036,2,949200,759360,1,1
75,17261,659,4,547800,56716,9493.55,480,0.037,1,876480,175296,1,1
90,11336,666,2,234700,48853,6234.8,420,0.044,3,398990,239394,3,1
95,45921,641,2,714000,82411,44084.16,420,0.035,0,1356600,542640,2,1
49,51248,676,4,443300,114257,19986.72,480,0.04,3,1152580,230516,2,0
69,56224,667,3,474600,85479,29236.48,480,0.043,1,1091580,436632,2,1
26,127403,752,1,137100,36600,31850.75,360,0.041,4,246780,197424,2,1
51,48098,643,4,80800,33648,36554.48,420,0.042,2,161600,113120,3,1
76,44575,623,10,119500,43606,29865.25,420,0.038,6,250950,50190,2,0
90,844880,791,4,139200,58247,109834.4,480,0.04,3,417600,292320,2,1
73,924340,780,4,129500,43190,18486.8,180,0.04,2,388500,310800,2,1
31,46643,632,3,162400,48428,33116.53,480,0.042,5,389760,116928,3,0
67,49791,658,2,186100,56862,24895.5,420,0.043,3,334980,200988,2,1
62,290639,782,1,268300,59574,5812.78,360,0.043,2,751240,75124,3,1
69,452830,788,3,646500,91353,31698.1,360,0.04,1,1874850,1124910,4,1
43,41864,627,2,420600,47358,27211.6,360,0.039,3,1135620,794934,3,1
60,44256,650,1,124000,34234,23455.68,360,0.041,2,310000,31000,2,1
48,43996,759,6,79400,29156,5279.52,360,0.044,1,150860,75430,3,1
41,51545,705,4,297500,49446,15463.5,360,0.036,0,743750,446250,1,1
53,47983,621,1,104500,30678,36467.08,420,0.041,2,271700,108680,3,1
67,51612,672,4,218200,54758,22709.28,360,0.037,6,523680,471312,1,0
27,54535,666,3,190100,75421,26722.15,480,0.037,3,513270,102654,1,1
93,825053,797,3,351000,71720,8250.53,420,0.045,0,877500,175500,3,1
26,23345,650,3,250200,59358,9804.9,480,0.045,1,450360,225180,2,1
29,32329,653,2,512700,68368,17780.95,480,0.045,1,1435560,1148448,4,1
22,188781,750,4,209800,81887,58522.11,180,0.036,1,503520,302112,1,1
30,15697,658,1,474600,85479,7220.62,360,0.041,2,806820,242046,3,1
21,29961,653,2,170000,55900,15579.72,180,0.042,2,425000,42500,3,1
50,501901,799,9,285000,46312,85323.17,420,0.036,6,741000,148200,1,0
46,25803,643,4,209800,81887,16513.92,420,0.039,2,398620,239172,2,0
41,685475,652,3,162000,50817,322173.25,360,0.035,0,437400,131220,1,1
52,11688,644,2,162300,49563,8298.48,420,0.043,1,275910,193137,3,1
24,56622,679,2,443300,114257,26046.12,180,0.045,2,1019590,611754,2,0
36,39690,651,3,285000,46312,18257.4,480,0.044,0,741000,148200,3,1
55,49153,626,4,283100,58707,34898.63,180,0.042,0,566200,452960,2,1
64,53797,711,1,150100,37006,12911.28,420,0.043,4,390260,273182,2,1
18,20289,660,3,217400,75365,10144.5,180,0.038,2,391320,234792,2,0
53,33373,763,2,443300,114257,8009.52,420,0.043,6,930930,465465,2,0
47,21308,648,3,351000,71720,12784.8,360,0.035,3,702000,210600,2,0
25,861333,684,3,150100,37006,396213.18,180,0.042,2,420280,168112,3,1
50,30464,646,3,443300,114257,19192.32,360,0.044,5,1108250,443300,2,0
76,143776,764,3,242500,73424,43132.8,480,0.04,0,557750,111550,2,1
35,116951,777,1,88900,30958,14034.12,180,0.039,0,195580,156464,2,1
31,38989,661,4,119500,43606,17545.05,480,0.036,4,298750,149375,1,1
100,347820,797,4,179000,45098,52173,360,0.038,3,483300,386640,2,1
21,58485,651,1,103900,38545,26903.1,360,0.043,3,238970,167279,2,1
